instance,method,rep,bestFitness,avgFitness,worstFitness,evaluations,timeMs,populationSize,generations,mutationProb,crossoverProb,tournamentSize,tabuSize
tai20_20_0,GA,0,32961,32961.00,32961,10000,80.289,100,100,0.010,0.700,5,7
tai20_20_0,GA,1,32723,32725.51,32974,10000,64.397,100,100,0.010,0.700,5,7
tai20_20_0,GA,2,32864,33049.77,34454,10000,73.781,100,100,0.010,0.700,5,7
tai20_20_0,GA,3,32483,32497.66,33562,10000,81.356,100,100,0.010,0.700,5,7
tai20_20_0,GA,4,33022,33031.05,33927,10000,117.350,100,100,0.010,0.700,5,7
tai20_20_0,GA,5,32623,32638.82,34046,10000,114.647,100,100,0.010,0.700,5,7
tai20_20_0,GA,6,32878,32882.81,33359,10000,112.231,100,100,0.010,0.700,5,7
tai20_20_0,GA,7,32639,32660.29,34459,10000,72.707,100,100,0.010,0.700,5,7
tai20_20_0,GA,8,32758,32765.87,33545,10000,112.940,100,100,0.010,0.700,5,7
tai20_20_0,GA,9,33021,33021.00,33021,10000,82.185,100,100,0.010,0.700,5,7
tai20_20_0,TS,0,32384,32384.00,32487,9880,100.253,100,100,0.010,0.700,5,7
tai20_20_0,TS,1,32163,32163.00,32163,9880,81.313,100,100,0.010,0.700,5,7
tai20_20_0,TS,2,32195,32195.00,32276,9880,69.936,100,100,0.010,0.700,5,7
tai20_20_0,TS,3,32225,32225.00,32334,9880,113.153,100,100,0.010,0.700,5,7
tai20_20_0,TS,4,32458,32458.00,32556,9880,110.514,100,100,0.010,0.700,5,7
tai20_20_0,TS,5,32206,32206.00,32291,9880,133.558,100,100,0.010,0.700,5,7
tai20_20_0,TS,6,32272,32272.00,32272,9880,119.637,100,100,0.010,0.700,5,7
tai20_20_0,TS,7,32521,32521.00,32596,9880,116.474,100,100,0.010,0.700,5,7
tai20_20_0,TS,8,32463,32463.00,32572,9880,105.024,100,100,0.010,0.700,5,7
tai20_20_0,TS,9,32319,32319.00,32387,9880,108.374,100,100,0.010,0.700,5,7
tai20_20_0,ILS,0,31979,32221.51,32770,2004,22630.497,100,100,0.010,0.700,5,7
tai20_20_0,ILS,1,31979,32215.69,32725,2004,22232.501,100,100,0.010,0.700,5,7
tai20_20_0,ILS,2,31979,32209.19,32980,2004,20905.665,100,100,0.010,0.700,5,7
tai20_20_0,ILS,3,31979,32216.09,32797,2004,21441.416,100,100,0.010,0.700,5,7
tai20_20_0,ILS,4,31979,32220.37,32846,2003,21131.596,100,100,0.010,0.700,5,7
tai20_20_0,ILS,5,31979,32213.11,32760,2004,21056.830,100,100,0.010,0.700,5,7
tai20_20_0,ILS,6,31979,32207.78,32735,2004,20886.603,100,100,0.010,0.700,5,7
tai20_20_0,ILS,7,31979,32200.28,32825,2005,20895.096,100,100,0.010,0.700,5,7
tai20_20_0,ILS,8,31979,32210.04,32765,2003,21539.380,100,100,0.010,0.700,5,7
tai20_20_0,ILS,9,31979,32212.51,32913,2004,21959.513,100,100,0.010,0.700,5,7
tai100_10_0,Greedy,0,353608,353608.00,353608,100,27.328,100,100,0.010,0.700,5,7
tai100_10_0,RandomSearch,0,335312,0.00,378137,10000,159.988,100,100,0.010,0.700,5,7
tai100_10_0,RandomSearch,1,336939,0.00,379039,10000,126.234,100,100,0.010,0.700,5,7
tai100_10_0,RandomSearch,2,336441,0.00,380973,10000,193.262,100,100,0.010,0.700,5,7
tai100_10_0,RandomSearch,3,333303,0.00,378529,10000,145.828,100,100,0.010,0.700,5,7
tai100_10_0,RandomSearch,4,336323,0.00,381884,10000,143.479,100,100,0.010,0.700,5,7
tai100_10_0,RandomSearch,5,335825,0.00,384408,10000,209.380,100,100,0.010,0.700,5,7
tai100_10_0,RandomSearch,6,335025,0.00,380787,10000,187.586,100,100,0.010,0.700,5,7
tai100_10_0,RandomSearch,7,334488,0.00,380945,10000,128.951,100,100,0.010,0.700,5,7
tai100_10_0,RandomSearch,8,337260,0.00,379078,10000,142.029,100,100,0.010,0.700,5,7
